"SecondarySubjectID","EnrollmentType","Q1_-_Online course materials were organized to help me navigate through the course week by week.","Q1_-_Online interactions with my instructor created a sense of connection in the virtual classroom.","Q1_-_Online course interactions created a sense of community and connection to my classmates.","Q1_-_I had the necessary computer skills and technology to successfully complete the course.","Q2_Please comment on your experience of the online course environment in the open-ended text box.","Q3_How often did you attend this class both in-person and remotely?_How often did you attend this class both in-person and remotely?","Q4_The number of hours per week I devoted to this course outside scheduled class meeting times._The number of hours per week I devoted to this course outside scheduled class meeting times.","Q5_What I could have done to make this course better for myself.","Q6_-_The syllabus was accurate and helpful in delineating expectations and course outcomes.","Q6_-_Required and additional course materials were helpful in achieving course outcomes.","Q7_-_In-class sessions were helpful for learning.","Q7_-_Out-of-class assignments and/or fieldwork were helpful for learning.","Q7_-_This course was intellectually challenging.","Q7_-_I learned a lot in this course.","Q8_-_The instructor came to class prepared to teach.","Q8_-_The instructor used class time effectively.","Q8_-_The instructor clearly communicated ideas and information.","Q8_-_The instructor provided sufficient feedback.","Q8_-_The instructor fairly evaluated my performance.","Q8_-_The instructor was available to assist students outside of class.","Q8_-_The instructor facilitated a respectful and inclusive learning environment.","Q8_-_The instructor displayed enthusiasm for the course.","Q9_What were the strengths of this course and/or this instructor?","Q10_What could the instructor do to make this course better?","Q11_Please expand on the instructor’s strengths and/or areas for improvement in facilitating inclusive learning.","Q12_What is your overall rating of this instructor's teaching effectiveness?_What is your overall rating of this instructor's teaching effectiveness?"
"001791750","System","N/A","N/A","N/A","Strongly Agree","D/A","80-100%","8-10","Dive deeper into the various technologies that the professor shared.","Agree","Agree","Agree","Neutral","Neutral","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","- Very knowledgeable about the material
- Answers questions very well","- I wish the lab work was less about using the technology as one expects to and more like a structured assignment (i.e.: instead of 6 lab assignments, maybe 2 or 3 assignments that is more oriented for solving large scale MLOps problems)","Strengths:
- Approachable
- Easy to follow through in the class
Improvement Areas:
- The class is too long. I wish it was 2x 1.5 hour blocks/week instead (I know this is out of the professor's control, but it would be preferred)
- While the prof was very communicative and friendly in-person, I never got responses to my emails. That would be appreciated moving forward.","Usually Effective"
"001791750","System","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","D/A","60-80%","8-10","D/A","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","D/A","D/A","D/A","Usually Effective"
"001791750","System","Strongly Agree","Strongly Agree","Agree","Strongly Agree","D/A","80-100%","8-10","D/A","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Neutral","Agree","Agree","D/A","D/A","D/A","Almost Always Effective"
"001791750","System","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","80-100%","More than 10","D/A","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","D/A","D/A","Almost Always Effective"
"001791750","System","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","The course was offline it was fun attending the class and get to learn new things everyday","80-100%","8-10","it was perfect","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","I like the content provided and weekly labs made the course interesting, presentation at google was one of greatest experience that a northeastern course has given me.","It was perfect","Instructor explained the difficult concepts with good example and references ","Almost Always Effective"
"001791750","System","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","80-100%","More than 10","D/A","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","D/A","D/A","Almost Always Effective"
"001791750","System","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","80-100%","More than 10","D/A","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","D/A","D/A","Almost Always Effective"
"001791750","System","Strongly Agree","Strongly Agree","Strongly Agree","Agree","D/A","80-100%","8-10","D/A","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","D/A","D/A","Almost Always Effective"
"001791750","System","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","80-100%","8-10","D/A","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","D/A","D/A","Almost Always Effective"
"001791750","System","Strongly Agree","Strongly Agree","Agree","Strongly Agree","It was good.","80-100%","8-10","Practice well","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","He is a Great Prof.","Nothing","Nothing","Almost Always Effective"
"001791750","System","Agree","Strongly Agree","Agree","Agree","D/A","80-100%","More than 10","D/A","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","D/A","D/A","Almost Always Effective"
